Player_ID,Mins,Special Type,Match ID
9, 29',,1
9, 71' ,PENALTY,1
10, 90+1',,1
5, 11' ,OWN_GOAL,1
87, 61',,2
174, 27' ,PENALTY,3
146, 44',,3
146, 72',,3
148, 53',,3
148, 80',,3
140, 65',,3
121, 12',,4
124, 14',,4
129, 90+2',,4
95, 35',,4
190, 5',,5
130, 58',,5
193, 90+3',,5
241, 64',,6
239, 66',,6
256, 16',,6
365, 24' ,PENALTY,7
284, 54',,7
281, 57',,7
296, 84',,7
307, 37',,8
62, 61',,8
329, 35',,8
330, 50',,8
454, 48',,9
445, 90+3',,9
380, 22',,9
400, 45' ,PENALTY,10
400, 72',,10
431, 48' ,OWN_GOAL,10
487, 3' ,OWN_GOAL,11
469, 65',,11
491, 84',,11
564, 12' ,PENALTY,13
564, 45+1',,13
564, 78',,13
556, 32',,13
584, 82',,14
628, 1',,14
626, 86',,14
674, 70',,15
680, 80',,15
653, 25' ,PENALTY,15
700, 74',,16
723, 68',,16
63, 11',,18
49, 48',,18
62, 73',,18
125, 20',,19
134, 43',,19
95, 21',,20
106, 54' ,PENALTY,20
148, 20',,20
146, 58',,20
158, 68',,20
193, 64',,21
203, 70',,21
239, 73',,21
353, 39',,23
353, 85',,23
308, 75',,23
285, 44',,24
451, 81',,25
446, 87',,25
399, 17',,25
404, 18',,25
398, 40',,25
400, 67',,25
408, 73',,25
426, 31',,26
380, 34',,26
380, 65',,26
469, 90+1',,27
536, 29',,28
570, 51',,29
562, 71',,29
584, 54',,29
577, 63',,29
314, 64',,30
628, 81',,30
614, 5',,30
615, 90+5',,30
683, 88',,31
721, 50',,32
725, 72',,32
656, 26',,32
648, 28',,32
661, 38',,32
654, 62',,32
43, 26',,33
9, 17',,33
9, 35',,33
8, 49',,33
4, 84',,33
49, 87',,34
72, 72',,34
86, 75',,34
82, 82',,34
167, 36',,35
169, 69',,35
173, 82',,35
155,77',,36
158, 90+2',,36
261, 45+1',,37
194, 17' ,PENALTY,37
164, 55',,37
164, 82',,37
193, 90',,37
228, 42',,38
213, 90+3' ,PENALTY,38
241, 74',,38
347, 81',,39
459, 6',,41
459, 31',,41
459, 71',,41
535, 4',,43
535, 47',,43
469, 3',,43
469, 45+1',,43
475, 50',,43
493, 23',,44
490, 59',,44
484, 83',,44
521, 82',,44
564, 55',,45
595, 31' ,OWN_GOAL,46
604, 80',,46
577, 57',,46
671, 78',,47
656, 60',,48
698, 6',,48
3,18',,49
121, 32',,49
193, 28',,50
193, 50',,50
147, 88',,51
156, 90+4' ,PENALTY,51
78, 48',,51
285, 52',,52
225, 90+1',,52
409, 79',,53
530, 90+2' ,OWN_GOAL,53
560, 92',,54
559, 120',,54
661, 120+1',,54
466, 118',,55
673, 93',,56
675, 105',,56
636, 107',,56
556, 13',,57
2,7',,58
3,69',,58
193, 80' ,PENALTY,58
468, 8',,59
10, 90',,61
564, 11',,61
562, 23',,61
569, 24',,61
569, 26',,61
557, 29',,61
560, 69',,61
560, 79',,61
146, 3' ,PENALTY,63
142, 17',,63
157, 90+1',,63
570, 113',,64
