Spanien,60
Uruguay,56
Honduras,41
Portugal,33
Schweiz,32
Deutschland,32
Costa Rica,32
Ecuador,30
Belgien,29
Kroatien,28
Kolumbien,26
Chile,26
Mexiko,25
Japan,25
Elfenbeinküste,25
Brasilien,25
Südkorea,24
Argentinien,24
Kamerun,23
USA,21
Griechenland,21
Ghana,21
Nigeria,20
Italien,19
Russland,18
Frankreich,18
Algerien,18
Iran,16
England,14
Bosnien und Herzegovina,13
Niederlande,11
Australien,8
Gesamt,24
